# contains the families on the left with the members on the right. Look down the file to find an example with more than one member
mir-3691	hsa-mir-3691
mir-128	hsa-mir-128-1	hsa-mir-128-2	hsa-mir-128	hsa-mir-128a	hsa-mir-128b
mir-127	hsa-mir-127
mir-126	hsa-mir-126	hsa-mir-126b
mir-657	hsa-mir-657
mir-124	hsa-mir-124-1	hsa-mir-124-2	hsa-mir-124-3	hsa-mir-124a	hsa-mir-124a-1	hsa-mir-124a-2	hsa-mir-124b	hsa-mir-124	hsa-mir-124a-3	hsa-mir-124-4	hsa-mir-124-5	hsa-mir-124-6
mir-651	hsa-mir-651
mir-122	hsa-mir-122	hsa-mir-122a	hsa-mir-122-1	hsa-mir-122-2	hsa-mir-122b
mir-653	hsa-mir-653
mir-652	hsa-mir-652
mir-655	hsa-mir-655
mir-1718	hsa-mir-1718
mir-1719	hsa-mir-1719
mir-1248	hsa-mir-1248	hsa-mir-1248-1	hsa-mir-1248-2
mir-1249	hsa-mir-1249
mir-654	hsa-mir-654
mir-1244	hsa-mir-1244-1	hsa-mir-1244-2	hsa-mir-1244-3	hsa-mir-1244-4	hsa-mir-1244-5	hsa-mir-1244-6	hsa-mir-1244-7	hsa-mir-1244-8	hsa-mir-1244-9	hsa-mir-1244-10	hsa-mir-1244-11	hsa-mir-1244
mir-1245	hsa-mir-1245
mir-1246	hsa-mir-1246
mir-1247	hsa-mir-1247
mir-1240	hsa-mir-1240
mir-125	hsa-mir-125b-1	hsa-mir-125a	hsa-mir-125b-2	hsa-mir-125b	hsa-mir-125	hsa-mir-125-1	hsa-mir-125-2	hsa-mir-125a-1	hsa-mir-125a-2	hsa-mir-125b-3	hsa-mir-125c
mir-1714	hsa-mir-1714
mir-1715	hsa-mir-1715
mir-656	hsa-mir-656
mir-2449	hsa-mir-2449
mir-2448	hsa-mir-2448
mir-2447	hsa-mir-2447
mir-2446	hsa-mir-2446
mir-2445	hsa-mir-2445
mir-2444	hsa-mir-2444
mir-2443	hsa-mir-2443
mir-2442	hsa-mir-2442
mir-2441	hsa-mir-2441
mir-650	hsa-mir-650	hsa-mir-650a-1	hsa-mir-650a-2	hsa-mir-650b	hsa-mir-650c	hsa-mir-650d
mir-2289	hsa-mir-2289
mir-2288	hsa-mir-2288
mir-2285	hsa-mir-2285a	hsa-mir-2285d	hsa-mir-2285b	hsa-mir-2285c
mir-2284	hsa-mir-2284i	hsa-mir-2284s	hsa-mir-2284l	hsa-mir-2284j	hsa-mir-2284t	hsa-mir-2284d	hsa-mir-2284n	hsa-mir-2284g	hsa-mir-2284p	hsa-mir-2284u	hsa-mir-2284f	hsa-mir-2284a	hsa-mir-2284k	hsa-mir-2284c	hsa-mir-2284v	hsa-mir-2284q	hsa-mir-2284m	hsa-mir-2284b	hsa-mir-2284r	hsa-mir-2284h	hsa-mir-2284o	hsa-mir-2284e	hsa-mir-2284w	hsa-mir-2284x
mir-2287	hsa-mir-2287
mir-2286	hsa-mir-2286
mir-2281	hsa-mir-2281
mir-2280	hsa-mir-2280
mir-2283	hsa-mir-2283
mir-2282	hsa-mir-2282
mir-729	hsa-mir-729
mir-728	hsa-mir-728
mir-239	hsa-mir-239a	hsa-mir-239b
mir-238	hsa-mir-238
mir-721	hsa-mir-721
mir-720	hsa-mir-720
mir-723	hsa-mir-723
mir-722	hsa-mir-722
mir-725	hsa-mir-725
mir-724	hsa-mir-724
mir-727	hsa-mir-727
mir-726	hsa-mir-726
mir-1712	hsa-mir-1712
mir-1713	hsa-mir-1713
mir-1710	hsa-mir-1710
mir-1711	hsa-mir-1711
mir-1716	hsa-mir-1716
mir-1241	hsa-mir-1241
mir-347	hsa-mir-347
mir-346	hsa-mir-346
mir-345	hsa-mir-345
mir-344	hsa-mir-344-1	hsa-mir-344d-3	hsa-mir-344d-1	hsa-mir-344d-2	hsa-mir-344-2	hsa-mir-344e	hsa-mir-344b	hsa-mir-344c	hsa-mir-344g	hsa-mir-344f	hsa-mir-344a-1	hsa-mir-344b-2	hsa-mir-344a-2	hsa-mir-344b-1
mir-343	hsa-mir-343
mir-342	hsa-mir-342
mir-341	hsa-mir-341
mir-340	hsa-mir-340
mir-1243	hsa-mir-1243
mir-349	hsa-mir-349
mir-983	hsa-mir-983-1	hsa-mir-983-2
mir-83	hsa-mir-83
mir-82	hsa-mir-82
mir-81	hsa-mir-81
mir-3713	hsa-mir-3713
mir-87	hsa-mir-87
mir-86	hsa-mir-86
mir-85	hsa-mir-85
mir-84	hsa-mir-84
mir-1639	hsa-mir-1639
mir-2459	hsa-mir-2459
mir-1638	hsa-mir-1638
mir-2440	hsa-mir-2440
mir-3620	hsa-mir-3620
mir-3621	hsa-mir-3621
mir-3622	hsa-mir-3622a	hsa-mir-3622b
mir-1819	hsa-mir-1819
mir-1818	hsa-mir-1818
mir-4272	hsa-mir-4272
mir-3538	hsa-mir-3538-1	hsa-mir-3538-2
mir-3539	hsa-mir-3539
mir-1758	hsa-mir-1758
mir-3530	hsa-mir-3530
mir-3531	hsa-mir-3531
mir-3532	hsa-mir-3532
mir-3533	hsa-mir-3533
mir-3534	hsa-mir-3534
mir-3535	hsa-mir-3535
mir-3536	hsa-mir-3536
mir-3537	hsa-mir-3537
mir-1813	hsa-mir-1813-2	hsa-mir-1813-1
mir-1812	hsa-mir-1812
mir-882	hsa-mir-882
mir-883	hsa-mir-883a	hsa-mir-883b	hsa-mir-883
mir-337	hsa-mir-337
mir-4157	hsa-mir-4157
mir-1637	hsa-mir-1637
mir-4155	hsa-mir-4155
mir-4154	hsa-mir-4154
mir-4153	hsa-mir-4153
mir-4152	hsa-mir-4152
mir-4151	hsa-mir-4151
mir-4150	hsa-mir-4150
mir-887	hsa-mir-887
mir-4159	hsa-mir-4159
mir-4158	hsa-mir-4158
mir-4088	hsa-mir-4088
mir-2450	hsa-mir-2450c	hsa-mir-2450b	hsa-mir-2450a
mir-2893	hsa-mir-2893
mir-233	hsa-mir-233
mir-232	hsa-mir-232	hsa-mir-232-1
mir-231	hsa-mir-231
mir-1419	hsa-mir-1419a	hsa-mir-1419b-1	hsa-mir-1419c-1	hsa-mir-1419d	hsa-mir-1419e	hsa-mir-1419c-2	hsa-mir-1419c-3	hsa-mir-1419b-2	hsa-mir-1419f	hsa-mir-1419g
mir-1418	hsa-mir-1418
mir-1709	hsa-mir-1709
mir-1411	hsa-mir-1411
mir-1410	hsa-mir-1410
mir-1413	hsa-mir-1413
mir-1191	hsa-mir-1191
mir-1415	hsa-mir-1415
mir-1414	hsa-mir-1414
mir-1417	hsa-mir-1417
mir-1416	hsa-mir-1416
mir-235	hsa-mir-235
mir-1632	hsa-mir-1632
mir-234	hsa-mir-234
mir-1895	hsa-mir-1895
mir-1894	hsa-mir-1894
mir-1897	hsa-mir-1897
mir-1896	hsa-mir-1896
mir-1675	hsa-mir-1675
mir-1674	hsa-mir-1674
mir-1893	hsa-mir-1893
mir-1892	hsa-mir-1892
mir-1679	hsa-mir-1679
mir-1678	hsa-mir-1678
mir-1899	hsa-mir-1899
mir-1898	hsa-mir-1898
mir-1381	hsa-mir-1381
mir-1380	hsa-mir-1380
mir-1383	hsa-mir-1383
mir-1382	hsa-mir-1382
mir-1385	hsa-mir-1385
mir-1384	hsa-mir-1384
mir-1387	hsa-mir-1387
mir-1386	hsa-mir-1386
mir-1389	hsa-mir-1389
mir-1388	hsa-mir-1388
mir-19	hsa-mir-19a	hsa-mir-19b-1	hsa-mir-19b-2	hsa-mir-19b	hsa-mir-19c	hsa-mir-19d
mir-648	hsa-mir-648
mir-649	hsa-mir-649
mir-138	hsa-mir-138-2	hsa-mir-138-1	hsa-mir-138	hsa-mir-138b	hsa-mir-138a
mir-139	hsa-mir-139
mir-134	hsa-mir-134
mir-135	hsa-mir-135a-1	hsa-mir-135a-2	hsa-mir-135b	hsa-mir-135	hsa-mir-135a	hsa-mir-135-1	hsa-mir-135-2	hsa-mir-135a-3	hsa-mir-135c-1	hsa-mir-135c-2	hsa-mir-135c-3
mir-136	hsa-mir-136
mir-137	hsa-mir-137	hsa-mir-137a	hsa-mir-137b	hsa-mir-137-1	hsa-mir-137-2	hsa-mir-137-3
mir-130	hsa-mir-130a	hsa-mir-130b	hsa-mir-130c	hsa-mir-130a-1	hsa-mir-130a-2	hsa-mir-130c-1	hsa-mir-130c-2	hsa-mir-130
mir-647	hsa-mir-647
mir-132	hsa-mir-132	hsa-mir-132-1	hsa-mir-132-2
mir-133	hsa-mir-133a-1	hsa-mir-133a-2	hsa-mir-133b	hsa-mir-133a	hsa-mir-133c	hsa-mir-133-1	hsa-mir-133-2	hsa-mir-133-3	hsa-mir-133d	hsa-mir-133
mir-18	hsa-mir-18a	hsa-mir-18b	hsa-mir-18	hsa-mir-18c
mir-1708	hsa-mir-1708
mir-1258	hsa-mir-1258
mir-1257	hsa-mir-1257
mir-1256	hsa-mir-1256
mir-1255	hsa-mir-1255a	hsa-mir-1255b-1	hsa-mir-1255b-2	hsa-mir-1255b
mir-1254	hsa-mir-1254
mir-1253	hsa-mir-1253
mir-1252	hsa-mir-1252
mir-1251	hsa-mir-1251
mir-1250	hsa-mir-1250
mir-2472	hsa-mir-2472
mir-2473	hsa-mir-2473
mir-2470	hsa-mir-2470
mir-2471	hsa-mir-2471
mir-2476	hsa-mir-2476
mir-2477	hsa-mir-2477
mir-2474	hsa-mir-2474
mir-2475	hsa-mir-2475
mir-2478	hsa-mir-2478
mir-2479	hsa-mir-2479
mir-2276	hsa-mir-2276
mir-2277	hsa-mir-2277
mir-2278	hsa-mir-2278
mir-2279	hsa-mir-2279
mir-1705	hsa-mir-1705
mir-736	hsa-mir-736
mir-737	hsa-mir-737
mir-734	hsa-mir-734
mir-735	hsa-mir-735
mir-732	hsa-mir-732
mir-733	hsa-mir-733
mir-730	hsa-mir-730
mir-731	hsa-mir-731
mir-2992	hsa-mir-2992
mir-739	hsa-mir-739
mir-228	hsa-mir-228
mir-229	hsa-mir-229
mir-221	hsa-mir-221
mir-222	hsa-mir-222	hsa-mir-222a	hsa-mir-222b	hsa-mir-222-1	hsa-mir-222-2
mir-223	hsa-mir-223
mir-224	hsa-mir-224
mir-1734	hsa-mir-1734
mir-1735	hsa-mir-1735
mir-1224	hsa-mir-1224
mir-1737	hsa-mir-1737
mir-1707	hsa-mir-1707
mir-2384	hsa-mir-2384-1	hsa-mir-2384-2
mir-2385	hsa-mir-2385
mir-2386	hsa-mir-2386
mir-2387	hsa-mir-2387
mir-2380	hsa-mir-2380
mir-2381	hsa-mir-2381
mir-2382	hsa-mir-2382
mir-2383	hsa-mir-2383
mir-1733	hsa-mir-1733
mir-2388	hsa-mir-2388
mir-2389	hsa-mir-2389
mir-354	hsa-mir-354
mir-355	hsa-mir-355
mir-356	hsa-mir-356
mir-357	hsa-mir-357
mir-350	hsa-mir-350
mir-351	hsa-mir-351
mir-352	hsa-mir-352
mir-353	hsa-mir-353
mir-358	hsa-mir-358
mir-359	hsa-mir-359
mir-2997	hsa-mir-2997
mir-2128	hsa-mir-2128
mir-2129	hsa-mir-2129
mir-78	hsa-mir-78
